product,rating,review_date,text
무선이어폰 X1,5,2026-06-01,배송이 정말 빨라서 놀랐어요. 다음날 바로 도착했습니다.
무선이어폰 X1,5,2026-06-03,음질이 기대 이상이에요. 저음이 특히 좋습니다.
무선이어폰 X1,3,2026-06-05,디자인은 예쁜데 착용감이 좀 불편해요.
무선이어폰 X1,1,2026-06-07,이틀 만에 한쪽이 고장났어요. 불량인 것 같습니다.
블루투스 스피커 미니,5,2026-06-09,가격 대비 정말 만족스러운 제품입니다.
블루투스 스피커 미니,2,2026-06-11,배터리가 생각보다 빨리 닳아요.
블루투스 스피커 미니,1,2026-06-13,고객센터 연결이 너무 안 돼서 답답했어요.
블루투스 스피커 미니,3,2026-06-15,무난하게 쓸만합니다. 특별히 좋지도 나쁘지도 않아요.
스마트워치 Fit2,5,2026-06-17,선물용으로 샀는데 반응이 아주 좋았어요!
스마트워치 Fit2,4,2026-06-19,화면이 밝고 시인성이 좋습니다.
스마트워치 Fit2,2,2026-06-21,포장 상태가 엉망이었어요. 박스가 찌그러져서 왔습니다.
스마트워치 Fit2,5,2026-06-23,운동할 때 심박수 측정이 정확해서 좋아요.
무선이어폰 X1,1,2026-06-25,배송 지연이 너무 심해요. 일주일 넘게 걸렸습니다.
무선이어폰 X1,2,2026-06-27,연결이 자꾸 끊겨서 스트레스 받아요.
블루투스 스피커 미니,3,2026-06-29,기본에 충실한 제품이에요. 무난합니다.
블루투스 스피커 미니,2,2026-07-01,소리가 생각보다 작아서 아쉬워요.
스마트워치 Fit2,5,2026-07-03,디자인이 세련되고 손에 잘 맞습니다.
스마트워치 Fit2,3,2026-07-05,앱 연동이 어려워서 처음에 애먹었어요.
무선이어폰 X1,5,2026-07-07,가성비 최고입니다. 재구매 의사 있어요.
무선이어폰 X1,2,2026-07-09,노이즈 캔슬링 기능이 기대했던 것보다 별로예요.
블루투스 스피커 미니,4,2026-07-11,친구 추천으로 샀는데 저도 만족합니다.
블루투스 스피커 미니,5,2026-07-13,방수 기능이 확실해서 물놀이 때 유용했어요.
스마트워치 Fit2,2,2026-07-15,터치 반응이 느려서 답답합니다.
스마트워치 Fit2,1,2026-07-17,제품 불량으로 교환 요청했는데 처리가 느립니다.
무선이어폰 X1,5,2026-07-19,배송도 빠르고 제품도 만족스러워요.
무선이어폰 X1,4,2026-07-21,착용감이 편하고 오래 껴도 안 아파요.
블루투스 스피커 미니,2,2026-07-23,광고랑 실제 성능이 많이 다른 것 같아요.
블루투스 스피커 미니,4,2026-07-25,가격이 조금 비싸지만 품질은 좋습니다.
스마트워치 Fit2,2,2026-07-27,배터리 지속시간이 광고보다 짧아요.
스마트워치 Fit2,4,2026-07-29,전반적으로 만족합니다. 다음에도 이 브랜드 살 것 같아요.
무선이어폰 X1,3,2026-07-31,설명서가 부실해서 설정하는데 오래 걸렸어요.
블루투스 스피커 미니,5,,화질과 음질 모두 훌륭합니다. 강력 추천!
스마트워치 Fit2,5,2026-08-04,고객 응대가 친절하고 빨라서 좋았어요.
무선이어폰 X1,1,2026-08-06,흠집이 있는 채로 배송됐어요. 실망입니다.
블루투스 스피커 미니,2,2026-08-08,실사용해보니 광고만큼 좋진 않네요.
스마트워치 Fit2,4,2026-08-10,이 가격에 이 정도 퀄리티면 훌륭하죠.
무선이어폰 X1,5,2026-06-01,배송이 정말 빨라서 놀랐어요. 다음날 바로 도착했습니다.
블루투스 스피커 미니,5,2026-06-09,가격 대비 정말 만족스러운 제품입니다.
스마트워치 Fit2,5,2026-08-16,수면 측정이 생각보다 정확해서 매일 밤 차고 잡니다 배터리도 이틀은 거뜬해요
블루투스 스피커 미니,3,2026-08-18,소리는 괜찮은데 볼륨을 높이면 저음이 조금 뭉개지는 느낌이에요
무선이어폰 X1,4,2026-08-20,좋아요
스마트워치 Fit2,2,2026-06-02,별로예요
